experiment,dataset,source_train_dataset,target_test_dataset,transfer_direction,model,seed,condition,mAP50-95,mAP50,mAP75,Precision,Recall,F1-score,Preprocess_ms_per_image,Inference_ms_per_image,Postprocess_ms_per_image,FPS,source_file
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,Faster R-CNN,42,rain,0.1351653807436616,0.2349555619890772,0.1395488539708391,,,,,58.77461121178973,,17.014149126339227,faster_rcnn/dawn_to_acdc_faster_rcnn_seed42/dawn_to_acdc_faster_rcnn_seed42_results_summary.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,Faster R-CNN,42,snow,0.1758695749714614,0.3070788435505059,0.1726681072974705,,,,,59.28644383000574,,16.867262318302274,faster_rcnn/dawn_to_acdc_faster_rcnn_seed42/dawn_to_acdc_faster_rcnn_seed42_results_summary.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,Faster R-CNN,456,global,0.1612224931780917,0.2790239691933869,0.162769955612016,,,,,160.13408512407196,,6.244766685526067,faster_rcnn/dawn_to_acdc_faster_rcnn_seed456/dawn_to_acdc_faster_rcnn_seed456_results_summary.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,Faster R-CNN,456,fog,0.2147146940322492,0.3655339545658084,0.2367154100077987,,,,,158.16539562000798,,6.3224954869553,faster_rcnn/dawn_to_acdc_faster_rcnn_seed456/dawn_to_acdc_faster_rcnn_seed456_results_summary.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,Faster R-CNN,456,rain,0.1506192884471067,0.2534573206607858,0.1569612089238954,,,,,160.38247875587382,,6.235095053756775,faster_rcnn/dawn_to_acdc_faster_rcnn_seed456/dawn_to_acdc_faster_rcnn_seed456_results_summary.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,Faster R-CNN,456,snow,0.1792948631484073,0.3122560156178354,0.1659356373526586,,,,,158.86530131001564,,6.294640753858283,faster_rcnn/dawn_to_acdc_faster_rcnn_seed456/dawn_to_acdc_faster_rcnn_seed456_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,YOLOv11s,123,global,0.3563629574710001,0.5484181987692751,0.3664775202947836,0.7388761213595499,0.4911716446790979,0.5900827747787458,,0.8463145611088934,,1181.5937547969618,yolo/acdc_in_domain_yolo11s_seed123/acdc_yolo11s_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,YOLOv11s,123,fog,0.4478304835671998,0.6660478994746457,0.4669776364606837,0.8144956447983055,0.6027180876898209,0.6927836583353787,,0.9719495200079108,,1028.860017330798,yolo/acdc_in_domain_yolo11s_seed123/acdc_yolo11s_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,YOLOv11s,123,rain,0.3218702155648332,0.5086046559573422,0.3213310648357434,0.7073580951388158,0.4631535811479537,0.5597815746305849,,0.8913210499980885,,1121.930195637301,yolo/acdc_in_domain_yolo11s_seed123/acdc_yolo11s_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,YOLOv11s,123,snow,0.3876949295410424,0.5544699287367619,0.4105913842738962,0.6987725635696146,0.5000074545381897,0.5829117690359971,,0.9579639799994766,,1043.880585155766,yolo/acdc_in_domain_yolo11s_seed123/acdc_yolo11s_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,YOLOv11s,123,global,0.3563629574710001,0.5484181987692751,0.3664775202947836,0.7388761213595499,0.4911716446790979,0.5900827752584693,0.3532922685179882,0.9860331222221754,0.7302133814795929,1014.1647146156188,yolo/acdc_in_domain_yolo11s_seed123/results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,YOLOv11s,42,global,0.3329239214285413,0.5211670032383942,0.3455456957176694,0.7650000386663572,0.4412763826248984,0.5596999883814187,,11.82979540000091,,84.53231574908921,yolo/acdc_in_domain_yolo11s_seed42/acdc_yolo11s_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,YOLOv11s,42,fog,0.4126636352338828,0.6276686829718906,0.4272475101155472,0.8583596913941158,0.546958445957601,0.6681577218212356,,11.74539895003818,,85.13972188205233,yolo/acdc_in_domain_yolo11s_seed42/acdc_yolo11s_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,YOLOv11s,42,rain,0.3081403931462938,0.4835624486689747,0.3194468989421659,0.7661113800345182,0.4058056430787584,0.5305705350258861,,11.654375285293634,,85.80468498057336,yolo/acdc_in_domain_yolo11s_seed42/acdc_yolo11s_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,YOLOv11s,42,snow,0.3559817439453207,0.5598017190443728,0.3647993084376462,0.7242598610404571,0.4605567081048445,0.5630622424066168,,11.945241840035123,,83.71534150513772,yolo/acdc_in_domain_yolo11s_seed42/acdc_yolo11s_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,YOLOv11s,456,global,0.2069465043760527,0.3641803764424393,0.2003417483432152,0.5244858901368917,0.3428727645640794,0.4146656655677316,,0.8489326425896487,,1177.9497569436414,yolo/acdc_in_domain_yolo11s_seed456/acdc_yolo11s_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,YOLOv11s,456,fog,0.3019315735231635,0.479680418978891,0.3362568992718026,0.8110582302523158,0.4098376082251676,0.5445217429198664,,0.950637869991624,,1051.9252720374068,yolo/acdc_in_domain_yolo11s_seed456/acdc_yolo11s_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,YOLOv11s,456,rain,0.1904982497047579,0.3398366994786743,0.1784827971976655,0.4774115831969007,0.337421884825505,0.3953915060290611,,0.8800328735319721,,1136.3211876239864,yolo/acdc_in_domain_yolo11s_seed456/acdc_yolo11s_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,YOLOv11s,456,snow,0.206604101964955,0.3625988725530747,0.2005934917882138,0.5447815743689959,0.3171145195914732,0.400879289855082,,0.9652278599969576,,1036.024799370329,yolo/acdc_in_domain_yolo11s_seed456/acdc_yolo11s_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,YOLOv11s,456,global,0.2069465043760527,0.3641803764424393,0.2003417483432152,0.5244858901368917,0.3428727645640794,0.4146656660458103,0.3445674592575818,0.8442609777767353,0.7824852000007249,1184.4678675465798,yolo/acdc_in_domain_yolo11s_seed456/results_summary.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,YOLOv11s,123,global,0.1287450506184209,0.2086774400042426,0.1493924086394732,0.3746137670529071,0.1926381845257831,0.2544369068545226,0.7114977499993204,6.2865105785671656,0.8531115500058409,127.37036441504996,yolo/acdc_to_dawn_yolo11s_seed123/acdc_to_dawn_yolo11s_results.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,YOLOv11s,123,fog,0.0932355647208842,0.1674659823170013,0.0848466889869311,0.2985050686431071,0.1740706352471058,0.2199053675229058,1.9324235666545064,6.555623850006972,1.3668759666719172,101.47212323245412,yolo/acdc_to_dawn_yolo11s_seed123/acdc_to_dawn_yolo11s_results.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,YOLOv11s,123,rain,0.2063068051631252,0.2928330845382188,0.2613355881393795,0.6635572248324031,0.2857025375939849,0.3994269861157025,2.287848924993341,7.089836099987679,4.8158363999959874,70.45467929052849,yolo/acdc_to_dawn_yolo11s_seed123/acdc_to_dawn_yolo11s_results.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,YOLOv11s,123,snow,0.2027079428494533,0.3021045145114229,0.2587762321178843,0.6355595594146781,0.2769209757705638,0.3857611566863566,2.7389173499955177,3.286223374993824,5.953840899996976,83.47955037464565,yolo/acdc_to_dawn_yolo11s_seed123/acdc_to_dawn_yolo11s_results.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,YOLOv11s,42,global,0.1159855169505529,0.1838432243774963,0.1243514592622632,0.3581057064669495,0.161089638205442,0.2222173957683124,0.5981275428601813,1.6297931500080918,1.0948236857107727,300.9560429766327,yolo/acdc_to_dawn_yolo11s_seed42/acdc_to_dawn_yolo11s_results.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,YOLOv11s,42,fog,0.0838632131271763,0.1338875981927235,0.0782163271083154,0.3139073338484414,0.1286947320510592,0.1825487196332273,0.5549297500086444,2.6390250333255,1.9162396166772548,195.687271701008,yolo/acdc_to_dawn_yolo11s_seed42/acdc_to_dawn_yolo11s_results.csv
